-1*v1+1*~(v0|v1)+1*(v0&v1),1*~v1-1*(v0^v1)
-7*(v1^(v0|(~v1|v2)))-3*(v2^(~v0|(v1|v2)))+3*(~v1&(v0^v2))-2*(v2^~(v0|(~v1&v2)))+3*(v2^~(v0&~v1))-3*~v1+3*((v1&~v2)|~(v0|(~v1&v2)))-5*(v1^(v0|~v2))-7*(v2^~(v0|v1))+1*((v0&v2)^(v0^(~v1&v2)))-2*(~v0|(v1|v2))-2*(v0&v2)-2*~(v0|~v2)+1*(v2&(v0|v1))-3*((v0|~v1)&(v0^(v1^v2)))-5*(v1&~(v0^v2))+1*(v1^(v0|(v1|v2)))-6*(v2&~(v0&~v1))-5*(v2^(~v0|(~v1|v2)))-1*(~(v0^v1)&~(v0^v2))+1*(v1^(v0&(v1^v2)))+7*(v2^(~v0&(~v1|v2)))+3*((v0&v1)^(v1|v2))-1*(v2|(v0&v1))+7*(~(v0|v1)|(v0^(v1^v2)))+2*(v2&~(v0&v1))-7*((v0&v1)|~(v0^(v1^v2)))-1*(v1&v2)-11*(v1^(~v0&(v1^v2)))+2*((v0&v1)|(v1^v2))+7*(v1^(v0|v2))-1*(v1^(v0&v2))+1*(v1^~(v0&v2))-3*~(v0|(v1&v2))+1*~(~v0&(v1|v2))-11*(v1|(v0&~v2))-6*(~v0&(~v1|v2))-1*(v2^(~v0|(v1&v2)))+1*(~(v0&~v1)&(v1^v2))+2*((v0&~v1)|(v0^(v1^v2)))+11*(v0|~v1)+1*((v0&v1)|~(v1|~v2))-7*(v0^(v1^v2))+11*(v1&(v0|~v2))+1*((v0|v1)&~(v1^v2))-1*(v1^(v0&~v2))+4*(v1|(v0^v2))+1*(v1^~(~v0|(v1&v2)))-11*~(~v0&(~v1&v2))+1*~(~v0|(~v1&v2))+7*(~(v0|v1)|~(v0^(v1^v2)))+5*(v1|~(v0|v2))+4*~(v0&(v1|v2))-1*(~v2|(v0^v1))+11*(v2|(v0&~v1))-6*(v0^(~v1&v2))-6*(v1^~(v0|(v1^v2)))+2*(v1^~(v0&(~v1&v2)))-2*((v1&v2)^~(v0&(v1^v2)))-11*(v2^(~v0&(v1|v2)))+1*~(v0^(v1^v2))+20*~(v0|(v1|v2))+14*~(v0|(~v1|v2))+4*~(~v0|(v1|v2))-3*~(~v0|(~v1|v2))-20*(~v0&(~v1&v2))+18*(~v0&(v1&v2))-2*(v0&(~v1&v2))+22*(v0&(v1&v2)),-11*(v1|~(v0|~v2))
11*(v2^(v0|(v1&v2)))-1*((v0&v2)^~(v0^(v1&v2)))+1*(v1^(v0|(~v1&v2)))-1*((v0&~v1)|(v0^(v1^v2)))-1*(v1^~(v0&v2))-1*(v1|~(v0^v2))+1*(v2^~(v0&(v1&v2)))+1*(v1^~(v0&(v1&v2)))-1*((v0&v1)|(v0^(v1^v2)))-11*(v1^(~v0&(~v1|v2)))+7*(v1|v2)+4*(v0^(v1&v2))+1*(v0&v1)+3*(v2^~(v0&(~v1&v2)))+1*((v0&v1)^(v0^(v1&v2)))-5*~(v0&(~v1|v2))+1*~(v0^(~v1&v2))+1*((v0|~v1)&(v0^(v1^v2)))-5*(v1^(v0|v2))+1*(v2^(v0|(~v1&v2)))-2*((v1&~v2)|~(v0|(~v1&v2)))-6*(v2|(v0&~v1))-1*(v0&v2)-11*(~v1&(v0^v2))+5*(v0&(v1^v2))-11*(~(v0|v1)|~(v1^v2))-5*(v1^(~v0&(v1^v2)))-7*~(v0&v2)-1*(~(v0^v1)&~(v0^v2))+5*(~v2|(v0^v1))-1*(v1&(v0^v2))+2*(v1|(v0&~v2))-6*~(v0&(~v1&v2))+1*(v1^~(v0|(~v1&v2)))-6*~(~v0|(~v1&v2))+11*((v0|v1)&~(v0^(v1^v2)))-7*(v2^~(v0|v1))+11*(v2&~(v0^v1))+1*(v2&~(v0&~v1))+1*((v0&v1)|~(v1|~v2))+7*~(v0&(v1|v2))-11*(v1^(v0&~v2))+4*(v1^(v0&(~v1|v2)))-1*(~v1|(v0^v2))-5*(~(v0&~v1)&~(v1^v2))+3*(v1^(v0&v2))-6*(v2^(v0&(v1|v2)))+11*~(v0&(v1^v2))-1*(~(v0&~v1)&(v1^v2))-5*(~(v0|v1)|~(v0^(v1^v2)))+3*(v0^(v1|v2))+2*(v2^(v0|v1))-3*(v0&~v1)-11*(v1^(v0|~v2))+4*(v2^~(v0&~v1))+1*(v1^~(v0|v2))-1*~(v0&~v2)+7*(v2^~(~v0|(~v1&v2)))+1*(v1^~(~v0&(v1^v2)))+11*(v0|(~v1|v2))+3*((v0&~v1)|~(v1^v2))+29*~(v0|(v1|v2))+1*~(v0|(~v1|v2))+4*~(~v0|(v1|v2))-24*~(~v0|(~v1|v2))+13*(~v0&(~v1&v2))+10*(~v0&(v1&v2))-27*(v0&(~v1&v2))+21*(v0&(v1&v2)),3*~(v0&(v1&v2))
1*(v1^~(v0&(v1&v2)))+1*(v1^(v0&(v1^v2)))-1*(~v0|(v1^v2))+5*(v1^~(~v0|(v1^v2)))-1*((v0|~v1)&(v1^v2))+2*(v2^(~v0&(v1|v2)))+5*(v2^~(v0|v1))-1*(v1^~(v0|(v1&v2)))+4*((v0&v2)|(v1&~v2))-1*((v0&v2)^(v0^(v1&v2)))+4*((v1&v2)^~(~v0&(v1^v2)))-2*v2-11*(~(v0^v1)&(v0^v2))-7*(~(v0&~v1)&(v1^v2))+3*(v1^(v0&~v2))+7*(v2|(v0^v1))+5*(v1^(~v0|(v1&v2)))-5*(v2&(v0^v1))+1*((v0&~v1)|(v1^v2))+1*(~(v0&v1)&(v0^(v1^v2)))-6*(~v2|~(v0^v1))-2*(v1&~(v0&~v2))+11*~(~v0&(~v1&v2))+11*(v0&~v2)-3*(v0|(v1|v2))-1*((v0&v1)^(v1|v2))-5*(v2^~(v0|(v1&v2)))-7*(v0^v1)+4*(v0^(v1|v2))-1*(v1^(v0|~v2))-1*((v0^v1)&(v0^v2))+5*(v2^~(v0|~v1))+7*((v0|~v1)&(v0^(v1^v2)))+2*(v1^~(~v0|(~v1&v2)))-1*~(v0&(~v1|v2))-6*((v0^v1)|~(v0^v2))-3*((v0&v2)^~(v0^(~v1&v2)))+1*~(v0^(v1^v2))-7*~(v0&(v1^v2))+3*~(v1^v2)+1*(~v0|(v1|v2))+11*(v1|~(v0|~v2))-6*(~(v0|~v1)|~(v1^v2))-1*(v0|~v2)+5*~(v0|~v2)-5*((v1&~v2)|~(~v0|(~v1&v2)))-7*(v1^(v0|(v1&v2)))-1*(~v0&(v1|v2))+7*~(~v0&(~v1|v2))+1*((v0|~v1)&~(v1^v2))+11*(v2^(v0&(~v1|v2)))+11*(v1|~v2)+4*(~(v0|~v1)|~(v0^(v1^v2)))+3*(v2&~(v0&~v1))-1*((v0&v1)^~(v0^(~v1|v2)))-6*~(v0|(v1&v2))-1*~(v0|(~v1&v2))-1*((v0^v1)|(v0^v2))+5*(v0|(v1&v2))-11*(~v0|(~v1&v2))-7*(v0^(~v1|v2))+2*((v1&~v2)|~(v0|(~v1&v2)))+11*~(v0|(v1|v2))+3*~(v0|(~v1|v2))-42*~(~v0|(v1|v2))-40*~(~v0|(~v1|v2))+2*(~v0&(~v1&v2))-24*(~v0&(v1&v2))-6*(v0&(~v1&v2))-44*(v0&(v1&v2)),-4*~(v0&~v1)+1*(~v0&(~v1|v2))
4*(v2^(v0|(~v1&v2)))-1*~(v0&~v0)+5*((v1&v2)|(v0&(v1|v2)))-6*((v1&v2)^~(~v0&(v1^v2)))+1*(~v0&(v1|v2))-7*((v0&v1)|(v1^v2))+4*~(v1|v2)+1*~(v0|v2)+1*(v1^~(v0&(v1&v2)))-1*(v1^~(v0|(v1&v2)))-2*((v0&v1)^(v1|~v2))-2*(v1^(v0|(~v1|v2)))+5*~(v0&(v1^v2))-6*(~v1&(v0^v2))-2*(v1|(v0&v2))-1*(v2|~(v0|~v1))-5*v0-1*(~v1&~(v0^v2))+2*(v1^(v0&(~v1|v2)))+1*((v0^v1)|(v0^v2))+1*(v2^(v0|(v1|v2)))-11*(v1^~(~v0|(v1&v2)))+11*(~(v0|~v1)|(v1^v2))+4*(~v0|(v1|v2))+1*(v2&~(v0&v1))-3*(v1^~(~v0&(v1|v2)))+5*(v2^~(v0&(~v1&v2)))+1*(v0&v2)+1*(v2^(~v0&(v1|v2)))-5*(v0^(~v1|v2))-7*(v1&~v2)-6*(~v1|~(v0^v2))-7*(~(v0^v1)&~(v0^v2))+4*(v1^(v0|(v1^v2)))-7*(v2^(v0&~v1))-7*(v1^~(v0&(~v1|v2)))+7*(~(v0|~v1)|(v0^(v1^v2)))+7*((v0|~v1)&~(v0^(v1^v2)))-2*(v2^(~v0|(v1|v2)))-1*(v0&~v2)+11*((v0|v1)&(v1^v2))+1*(v1^(~v0&(~v1|v2)))-1*(v1^(v0|(~v1&v2)))+1*(v1^(v0|~v2))+2*(v1&(v0|v2))+3*(~(v0|v1)|~(v1^v2))+3*~(~v0&(~v1&v2))-5*(~(v0|v1)|~(v0^(v1^v2)))-1*(v2^(v0|(v1&v2)))-1*(v0^v2)+4*(v1^~(~v0|(~v1&v2)))-1*(v0^(v1^v2))-1*(v2^(~v0|(~v1|v2)))-1*(v1|~(v0^v2))+11*(v2^~(v0|~v1))-5*(v1^~(~v0&(v1^v2)))+1*(~v2&~(v0^v1))-3*(v2^~(~v0&(~v1|v2)))+3*(v2^(~v0&(~v1|v2)))+1*((v0&v2)^(v1|v2))-11*(v1&~(v0&v2))-3*(v1^(v0|v2))+4*~(v0^(v1^v2))+9*~(v0|(v1|v2))+21*~(~v0|(v1|v2))-4*~(~v0|(~v1|v2))+4*(~v0&(~v1&v2))-8*(~v0&(v1&v2))-16*(v0&(~v1&v2))+10*(v0&(v1&v2)),-3*~(v0|v1)
1*(v2^(v0|(v1|v2)))+1*(v1^~(v0&~v2))+1*(v2^~(v0&v1))-11*(~(v0&v1)&~(v1^v2))-1*((v0&v2)^~(v1&~v2))-2*(v1^~(v0&v2))+11*(v1^(v0|(~v1&v2)))+2*(v0|(v1^v2))+1*~(v0&~v1)+1*(v0|(~v1|v2))-2*(v2|~(v0|~v1))+7*(v1&(v0|v2))+3*(~v1&(v0^v2))-5*(v1&~(v0&v2))-3*(~(v0|~v1)|~(v0^(v1^v2)))+7*~(~v0&(~v1&v2))-2*(v2^~(~v0&(~v1&v2)))+2*~(v0|(~v1&v2))+2*(~(v0&v1)&(v0^(v1^v2)))-1*((v0&v2)^(v0^(v1&v2)))-6*(v1^~(~v0|(~v1&v2)))-1*(v1^(~v0|(v1^v2)))+1*(v1^~(v0|~v2))-1*(v1^~(v0&(v1|v2)))-7*(v1&~(v0&~v2))+2*~(v0&(~v1&v2))-6*~(v0^(v1&v2))-5*(v1^~(v0|(~v1&v2)))+1*(~v2|(v0^v1))+1*((v0^v1)&(v0^v2))+3*(v1^~(~v0|(v1^v2)))-1*(v1|v2)-1*(v2^~(~v0&(v1&v2)))+5*(v2&~(v0&v1))+11*(v2^(v0&v1))+1*(v2&~(v0&~v1))+3*~(v0^(~v1&v2))-2*(~v0&(v1^v2))-1*(~(v0|v1)|~(v1^v2))+3*((v1&~v2)^(v0|(v1^v2)))+1*(v1^v2)+4*(~v2&~(v0^v1))-5*((v0&~v1)|(v0^(v1^v2)))-5*((v0&v1)^(v0^(~v1|v2)))+1*(v0^v2)+2*(v2^(~v0&(v1|v2)))+1*~(v0^(~v1|v2))-5*((v0^v1)|(v0^v2))-6*v2-3*(v1^(~v0|(v1|v2)))+1*~(v0^(v1^v2))+2*(~(v0|v1)|(v1^v2))+1*(v2^~(v0&(v1|v2)))+3*~(v0&(v1|v2))-7*(v2^~(v0|v1))+7*(v2^~(v0&(~v1&v2)))-7*(v2^(~v0&(~v1|v2)))-1*((v0^v1)|~(v0^v2))-1*((v1&~v2)^(~v0|(v1^v2)))+4*((v1&v2)^~(v0&(v1^v2)))-11*(v2|(v0&~v1))+5*(v1^(v0|(v1^v2)))-5*((v1&~v2)|~(v0|(~v1&v2)))+22*~(v0|(v1|v2))-7*~(v0|(~v1|v2))-12*~(~v0|(v1|v2))-25*~(~v0|(~v1|v2))-5*(~v0&(~v1&v2))-12*(v0&(~v1&v2))+39*(v0&(v1&v2)),-14*(~v0&(v1&v2))
-1*(v0^(v1&v2))-1*(v2^~(v0|(v1&v2)))-5*(v2^(v0|v1))+7*(v2^(~v0&(~v1|v2)))-3*(v2^(v0|(~v1|v2)))+1*(v2^(~v0|(~v1|v2)))-5*(~(v0&v1)&(v1^v2))-1*(v1^~(v0|(v1^v2)))+1*(~(v0|~v1)|(v1^v2))+7*(v1^~(~v0&(~v1|v2)))+11*((v0&v2)^(v0^(v1&v2)))-1*~(v0&~v2)-5*~(v0&(~v1&v2))-11*(~(v0&v1)&~(v0^(v1^v2)))+4*(~v1&~(v0^v2))+1*(~(v0^v1)&(v0^v2))-1*((v0&~v1)|(v1^v2))+2*(v0|(v1^v2))-7*(v1^~(~v0&(v1|v2)))-1*(v0&~v1)+4*(~v2&~(v0^v1))-2*(v2^(v0|(v1|v2)))-1*~(~v0&(v1|v2))+1*~(v0^(~v1|v2))-2*(v1^(v0|(~v1&v2)))+3*~v1+2*~(~v0&(v1^v2))-5*(v1&~(v0&v2))-5*(v1^(~v0&(~v1|v2)))-1*(~(v0&v1)&~(v1^v2))-1*~(v1|~v2)+5*(~(v0^v1)&~(v0^v2))-11*v1+11*(v1^(~v0|(~v1|v2)))-1*(v2^(~v0&(v1|v2)))+11*((v1&~v2)^(v0|(v1^v2)))+2*~(v0&(~v1|v2))+1*(v1&v2)-11*(v2^~(v0|v1))+11*~(v0^(v1&v2))+11*((v0^v1)&~(v0^v2))-2*(v0|(~v1&v2))-2*((v1&~v2)|~(v0|(~v1&v2)))-1*(v2^(v0&~v1))-3*~(v0|v1)+2*((v0&v1)^~(v0^(~v1|v2)))-1*(v1^(~v0|(~v1&v2)))+11*(~v0|(v1&v2))+1*(v0|(v1|v2))+1*((v0&~v1)|~(v0^(v1^v2)))+3*(v1^(v0|(v1|v2)))+4*(v1^(v0|(~v1|v2)))+7*((v0&v2)^~(v0^(v1&v2)))-6*(v2^~(v0&~v1))+1*(v1^~(v0|v2))-1*(v2&~(v0&~v1))+1*(v2|~(v0|~v1))-1*(v1^(v0|~v2))+2*((v0&v1)|~(v0^(v1^v2)))+5*(~(v0^v1)|~(v0^v2))-6*((v0&v1)|(v1^v2))-2*~(v0&v2)-17*~(v0|(v1|v2))+7*~(v0|(~v1|v2))-23*~(~v0|(v1|v2))+13*~(~v0|(~v1|v2))-33*(~v0&(~v1&v2))+21*(~v0&(v1&v2))-26*(v0&(~v1&v2))-24*(v0&(v1&v2)),-1*((v0&v1)^(v1|~v2))+3*~(v1|v2)
3*(v2&~(v0^v1))-1*(v0^(v1&v2))-3*((v0&v1)^~(v0^(v1&v2)))+4*(v2^~(v0|v1))+2*(v2^~(v0&(v1|v2)))-2*~(v0|v2)-5*(v2^~(v0&(v1&v2)))-1*((v0|v1)&~(v0^(v1^v2)))-2*(v1|(v0&v2))-1*(v2^(~v0|(v1|v2)))+2*~(~v0|(~v1&v2))-5*((v0&~v1)|~(v1^v2))+2*(v0&~v2)+5*(v2^~(~v0&(~v1&v2)))-3*(v1^~(v0|(v1&v2)))-5*(v2^(~v0&(~v1|v2)))+4*(v1^~(v0&~v2))+2*(v2^(~v0|(v1&v2)))+2*(v2^(v0&(v1|v2)))+1*(~v2&~(v0^v1))+1*(v1^(v0|(v1|v2)))-11*(v2^(~v0&(v1|v2)))-1*(v1^~(v0&(v1&v2)))-2*(v0&v2)+5*((v0|~v1)&(v1^v2))-3*(v0&(v1^v2))-1*(v1^~(v0|(v1^v2)))+2*(v2^(~v0|(~v1|v2)))+7*~(v0^(v1|v2))-1*(v2^~(v0&(~v1&v2)))+4*(v2^~(~v0&(v1&v2)))+1*(~(v0&v1)&~(v0^(v1^v2)))-3*(v2^(v0&v1))-1*~(v0^(v1^v2))+1*~(v0^(v1&v2))-2*~(v0&(~v1&v2))-11*(v1^~(v0|~v2))-5*(v1^(~v0|(~v1&v2)))-7*(v2^~(v0&v1))+3*(v2&~(v0&~v1))-2*(v1|(v0&~v2))+1*(v0|~v1)-1*((v0|v1)&(v1^v2))+1*(~v1&(v0^v2))-6*((v0&~v1)|(v1^v2))+3*~(v1|v2)+2*~(v1&v2)+11*(v1^~(~v0|(v1&v2)))-1*(v1^~(v0&v2))+1*(v1^(v0|(v1^v2)))+1*(~v0|(~v1&v2))-7*(~v0&(~v1|v2))-5*(v0|v1)-6*(v1^~(v0|v2))-1*(v2|(v0&v1))+2*(~v1&~(v0^v2))-3*(v1^(v0|v2))-1*(v2^(v0|v1))+7*(~(v0|~v1)|(v0^(v1^v2)))-7*(v2|(v0^v1))+1*(v2&(v0|~v1))-1*(v0&v1)+20*~(v0|(v1|v2))+34*~(v0|(~v1|v2))+8*~(~v0|(v1|v2))+32*~(~v0|(~v1|v2))+22*(~v0&(~v1&v2))+13*(~v0&(v1&v2))+24*(v0&(~v1&v2))+41*(v0&(v1&v2)),1*(v0^(~v1|v2))+5*~v1
3*(v2|(v0&v1))-1*(v2^(~v0|(~v1|v2)))-1*~(v0^v1)+4*(~v1&(v0^v2))-2*(v2^~(v0|(~v1&v2)))+1*(v1^(~v0&(~v1|v2)))+1*(v0&(~v1|v2))+2*(v1^(v0&(~v1|v2)))+3*((v0^v1)|~(v0^v2))+4*(v2^~(v0&(v1&v2)))+3*(v2|~(v0^v1))-1*~v2+1*(~(v0|~v1)|(v0^(v1^v2)))-2*(v1|~(v0|~v2))+1*~v1+7*((v0&v1)|(v1^v2))-1*((v1&~v2)|~(v0|(~v1&v2)))-5*(v0|v2)+5*((v0&v2)^~(v0^(v1&v2)))+1*(~(v0|v1)|(v1^v2))+1*((v0&~v1)|~(v0^(v1^v2)))-2*(v2^~(v0&(~v1&v2)))+4*(v2^(v0&(~v1|v2)))+2*(v1^~(v0&(~v1&v2)))-1*(v2^(v0|(v1|v2)))+5*((v0&v1)|~(v0^(v1^v2)))+1*(v1^(~v0&(v1^v2)))-1*~(v1|~v2)+2*(v2^~(~v0|(v1&v2)))-1*(v1^~(v0|(~v1&v2)))-5*((v0^v1)&(v0^v2))+5*(v2^(~v0|(v1&v2)))+2*(~(v0|~v1)|~(v0^(v1^v2)))+3*(v0|v1)+7*(v1^(v0|(~v1&v2)))-6*(v2|(v0&~v1))-7*((v0|v1)&(v1^v2))-11*(v2^(v0&v1))+11*(v1^~(~v0&(~v1|v2)))-3*((v0&v1)|~(v1|~v2))-11*~(v0^(v1^v2))+11*((v0&v1)|(v0^(v1^v2)))-1*(v1^~(v0|(v1&v2)))-3*(v1^~(~v0&(v1&v2)))+1*~(~v0&(~v1|v2))+4*~(v1&~v2)-6*(v0|~v1)+4*(v2^(~v0&(~v1|v2)))-5*~(v0|(v1&v2))+2*(v1^(v0|(v1&v2)))-11*(v1&(v0|~v2))-1*v2+1*((v0&v2)^~(v0^(~v1&v2)))-7*((v0&v2)^~(v1&~v2))-7*((v0&v1)^(v1|~v2))-11*(~v2&(v0^v1))+5*(v1^(~v0|(v1|v2)))-2*((v0|v1)&(v0^(v1^v2)))+5*(v2^~(v0&~v1))+1*(~(v0|v1)|(v0^(v1^v2)))-6*(v1^(v0|(v1^v2)))-11*(v0|(~v1&v2))+1*(v1|~(v0|v2))-10*~(v0|(~v1|v2))+9*~(~v0|(v1|v2))+22*~(~v0|(~v1|v2))+13*(~v0&(~v1&v2))+16*(~v0&(v1&v2))-1*(v0&(~v1&v2))-6*(v0&(v1&v2)),5*((v1&~v2)^(~v0|(v1^v2)))-1*(v1&v2)
1*(~v0|(v1&v2))-11*~(v0|v2)-3*(~(v0^v1)&(v0^v2))+1*(v1|(v0&v2))+5*(v1^(v0&v2))+7*(v2&(v0^v1))+2*v1-7*(v1^~(~v0|(v1^v2)))+1*(~v1|~(v0^v2))+1*((v0&v2)|~(v1|v2))+1*(v2|(v0&v1))-1*(v1^(~v0|(v1|v2)))+1*((v0&v2)^(v0^(v1&v2)))-7*(v2^~(~v0|(v1&v2)))-1*((v0&v1)^(v0^(~v1|v2)))+5*((v1&~v2)^(v0|(v1^v2)))-1*~(v0&v2)+1*(v1^(~v0|(v1^v2)))-3*(v1|~(v0^v2))+2*((v1&v2)|(~v0&(v1|v2)))+2*((v0&v2)^~(v0^(v1&v2)))+1*(~(v0&~v1)&~(v1^v2))-7*(~(v0&v1)&(v1^v2))+11*((v0|v1)&(v0^(v1^v2)))-1*(v2^~(v0&(v1&v2)))+7*((v0|~v1)&(v1^v2))-1*~(v0^(v1|v2))-7*~(v0&(~v1|v2))+5*((v0^v1)|~(v0^v2))-1*((v0&v1)|~(v1|~v2))-7*(v2^(v0|(v1&v2)))+5*(v2^~(~v0&(v1&v2)))+1*(v2^(v0&(v1|v2)))-6*(~(v0^v1)|(v0^v2))+4*(~v0|(v1^v2))+2*(v1^~(v0&v2))-1*(v2^~(v0|~v1))+1*((v0|~v1)&~(v1^v2))+7*~(v0|v1)-2*(v0&(v1^v2))-3*(v1&v2)-5*~(v0|(v1^v2))+1*~(v0&~v2)+1*(v0&v1)+2*v2+1*(~(v0&v1)&(v0^(v1^v2)))+1*((v0&~v1)|(v1^v2))+1*(v1^(~v0&(v1^v2)))+7*(v1|(v0&~v2))-1*(v1&~(v0&v2))-5*~(~v0|(v1^v2))+1*(v0|(v1^v2))-1*~(v0&~v1)-1*(~(v0|v1)|~(v0^(v1^v2)))+11*(v1^(v0&(v1|v2)))+1*(v2^~(~v0|(~v1&v2)))+1*((v1&v2)|(v0&(v1|v2)))+1*(v0&~v1)+2*(v0|(v1|v2))-5*((v0^v1)&~(v0^v2))-2*(v0|v1)-3*(v1^(v0|v2))+3*~(v0|(v1|v2))-17*~(v0|(~v1|v2))-7*~(~v0|(v1|v2))+5*~(~v0|(~v1|v2))+3*(~v0&(~v1&v2))-17*(~v0&(v1&v2))-38*(v0&(~v1&v2))-20*(v0&(v1&v2)),-4*(v2^~(v0&~v1))
3*~(v0&(~v1|v2))+1*(v2^~(~v0|(~v1&v2)))-1*(~(v0^v1)&~(v0^v2))-6*(v2^(~v0|(~v1&v2)))+5*(v2&(v0|v1))-7*~(v0&(v1&v2))+1*(v1^~(~v0&(~v1&v2)))-1*~(~v0&(v1&v2))+5*(~v0&(v1^v2))-1*(~(v0|v1)|(v1^v2))+1*(v0^v2)+5*(~(v0^v1)&(v0^v2))-1*~(~v0&(v1|v2))+5*(v1^(v0|(v1&v2)))-2*~(v0|(v1&v2))-1*((v0^v1)|~(v0^v2))-1*~(v0&(~v1&v2))+1*(v2^(v0|(~v1&v2)))-5*~(v0|~v1)-2*((v0&v2)^~(v1&~v2))-1*(v0&(v1^v2))+2*(v1^(~v0&(v1^v2)))+11*(v2^~(v0&v1))+1*(~(v0|~v1)|(v0^(v1^v2)))-1*~(v1|v2)-7*(v0&v2)-7*(v2^(v0&(v1|v2)))-1*(v2|(v0&v1))+4*((v0^v1)|(v0^v2))-3*(v1^~(v0&(v1&v2)))-2*~(v0^(~v1|v2))-2*(v2^~(v0|(~v1&v2)))-5*(~v1|(v0^v2))-1*(v1^(~v0|(~v1|v2)))+1*(v1^~(v0|(v1^v2)))+7*(~v2&~(v0^v1))-11*~(~v0|(v1&v2))+7*(~(v0^v1)|(v0^v2))-6*(v2^~(v0&(v1&v2)))+7*(v1^v2)-11*~(v1&~v2)+1*(~v2&(v0^v1))+3*~(v0|v2)-7*~(v0&v1)-2*(~v0&(v1|v2))+1*(v0&~v2)-5*~(v0^(v1&v2))+5*((v1&v2)^~(~v0&(v1^v2)))+1*~(~v0&(v1^v2))+5*(v2^~(v0|~v1))-5*~(v0&~v1)+1*(v1&(v0^v2))+1*(v1^~(~v0|(~v1&v2)))-1*(v1^~(v0&v2))+3*(v2|(v0&~v1))-3*(~v2|(v0^v1))-2*(v2^~(~v0&(~v1|v2)))+2*(v0^(v1&v2))+11*(v2^(v0|~v1))-11*(v0|v1)+1*((v1&~v2)^(~v0|(v1^v2)))-2*(v1^(v0|(v1|v2)))+23*~(v0|(v1|v2))+22*~(v0|(~v1|v2))+22*~(~v0|(v1|v2))+3*~(~v0|(~v1|v2))+22*(~v0&(~v1&v2))+26*(~v0&(v1&v2))+38*(v0&(~v1&v2))+29*(v0&(v1&v2)),1*~(v1^v2)-1*(v0^(~v1&v2))
-7*((v0&v2)^(v0^(v1&v2)))-1*((v0|v1)&~(v1^v2))+1*(v0&(~v1|v2))-6*(v2|(v0&~v1))-1*(v1|(v0&v2))+7*(~(v0|~v1)|(v1^v2))+1*((v0^v1)|(v0^v2))+5*(v2^(v0|(v1&v2)))+5*(~(v0|~v1)|~(v1^v2))+11*~(v0^v1)-11*(~(v0|v1)|(v0^(v1^v2)))+1*~(v1|v2)-1*~v0+1*~(v0&(v1|v2))+4*(v0|v1)-7*(v0&~v1)-7*~(~v0&(v1&v2))-6*(v1^(v0|(~v1|v2)))-7*(v1|~(v0|~v2))+1*~(v0&v2)-3*(v0|(~v1&v2))-1*~(v0^(~v1|v2))-1*(v2^(~v0|(v1&v2)))-11*((v0^v1)&~(v0^v2))-1*(v2^~(v0|v1))-3*(v2^~(v0|(v1&v2)))-1*((v0&v1)|(v1^v2))+4*((v0&~v1)|~(v1^v2))-5*(v1&v2)+2*v0-3*(v0^v2)+1*(~(v0^v1)|(v0^v2))-5*~(v1^v2)-2*~v2+1*(v0|(v1&v2))+2*(v1&~(v0&v2))+1*(~(v0&v1)&~(v0^(v1^v2)))-1*(v0&~v2)+2*(v2^~(~v0|(v1&v2)))+3*(v2^(~v0&(~v1|v2)))+4*(~(v0&~v1)&~(v1^v2))+7*(v1^~(~v0|(v1^v2)))-1*(v1^(v0|(v1^v2)))-6*(v2|(v0^v1))+5*(v1^(v0|~v2))+11*((v0&v2)^(v0^(~v1&v2)))+1*(v2^~(v0|(~v1&v2)))+7*((v0&v1)^(v0^(~v1|v2)))+5*(v1|v2)+7*~(v0|(v1^v2))+2*(v2^(v0&~v1))+7*(v2^~(~v0&(v1|v2)))+1*(~v1&~(v0^v2))+2*(~(v0&v1)&(v0^(v1^v2)))-6*(~(v0^v1)&(v0^v2))-2*~(v0|(~v1&v2))+4*(v1^(v0&(v1^v2)))-1*(v0|(v1^v2))+2*((v0^v1)&(v0^v2))-6*(~(v0|v1)|~(v1^v2))+1*((v0&v1)|~(v0^(v1^v2)))-1*(v1^~(v0|(v1^v2)))+5*(v0&(v1^v2))-15*~(v0|(v1|v2))+22*~(v0|(~v1|v2))-33*~(~v0|(~v1|v2))+1*(~v0&(~v1&v2))-27*(~v0&(v1&v2))-2*(v0&(~v1&v2))+14*(v0&(v1&v2)),-1*((v0&v1)^(v0^(v1&v2)))-8*~(~v0|(v1|v2))
