#groundtruth,mba
-11*(v0&(v1&(v2&v3))),33*(v0&(v1&(v2&v3)))*(v0&v1)+11*(v0&(v1&(v2&v3)))*v0+44*(v0&(v1&(v2&v3)))*~(v0|v1)+44*(v0&(v1&(v2&v3)))*~(v0|~v1)-33*(v0&(v1&(v2&v3)))*~(v0&~v1)
-4*((~(v0&v1)&~v3)|(~(v1^v2)&v3))+11*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3)),-7*(((v2^~(v0&(v1|v2)))&~v3)|((~v2&(v0^v1))&v3))-11*(((v0^(v1&v2))&~v3)|((~v1|(v0^v2))&v3))-1*(((~v2|(v0^v1))&~v3)|(((v1&v2)|(v0&(v1|v2)))&v3))+1*(((v1|~v2)&~v3)|((v1^(v0|(v1^v2)))&v3))-2*(((v1^(v0&(~v1|v2)))&~v3)|((v1&(v0|~v2))&v3))+2*(((v1&~v2)&~v3)|((v0&(v1|v2))&v3))-6*(((~(v0|v1)|(v1^v2))&~v3)|(((v0&v1)|(v0^(v1^v2)))&v3))-1*((~(v1&~v2)&~v3)|((v1^(~v0&(v1|v2)))&v3))-2*((((v0&v1)^(v1|~v2))&~v3)|((v1^(~v0|(~v1&v2)))&v3))-1*(((v1^(v0&v2))&~v3)|((v1|v2)&v3))-1*(((v1^(v0|(~v1&v2)))&~v3)|((v1^(v0|v2))&v3))+4*(((v1|~v2)&~v3)|(~(v0^(v1|v2))&v3))-5*((~(v0|~v2)&~v3)|((v0^(~v1|v2))&v3))-6*(((v2^(v0|(v1|v2)))&~v3)|((v1^(~v0|(v1&v2)))&v3))-3*((~(v0|(~v1|v2))&~v3)|((~v0|(~v1|v2))&v3))+2*(((v1^(~v0|(v1^v2)))&~v3)|((v1&~(v0&~v2))&v3))+3*(((v0|~v2)&~v3)|((v0&(v1|v2))&v3))+1*(((v1^~(v0&(~v1|v2)))&~v3)|((~(v0|v1)|(v1^v2))&v3))-5*(((v1^~(v0|(v1&v2)))&~v3)|(((v0&v2)^(v0^(~v1&v2)))&v3))+11*((((v0&v1)|~(v1|~v2))&~v3)|((v1^(v0|(v1&v2)))&v3))-3*(((~(v0^v1)&~(v0^v2))&~v3)|((~(v0&~v1)&(v0^(v1^v2)))&v3))-1*(((v1^(v0|(~v1&v2)))&~v3)|((v1|~v2)&v3))+1*(v0|v2)-11*(((v0|(v1|v2))&~v3)|((~(v0|v1)|~(v0^(v1^v2)))&v3))-7*((((v0^v1)&(v0^v2))&~v3)|((v0|(~v1|v2))&v3))-6*(((v1^(v0&(~v1|v2)))&~v3)|((v1^(v0|(v1|v2)))&v3))+2*((v1&v2)|~v0)+4*(((v0|(v1&v2))&~v3)|((v0&v1)&v3))-11*((((v0&v1)^(v0^(v1&v2)))&~v3)|((v0|~v2)&v3))+1*(((v0|v2)&~v3)|(((v0^v1)&~(v0^v2))&v3))+8*~(v0|(v1|(v2|v3)))+42*~(v0|(~v1|(v2|v3)))+60*~(~v0|(v1|(v2|v3)))+22*~(~v0|(~v1|(v2|v3)))+19*~(v0|(v1|(~v2|v3)))+48*~(v0|(~v1|(~v2|v3)))+33*~(~v0|(v1|(~v2|v3)))+19*~(~v0|(~v1|(~v2|v3)))+46*(~v0&(~v1&(~v2&v3)))+18*(~v0&(v1&(~v2&v3)))+52*(v0&(~v1&(~v2&v3)))+66*(v0&(v1&(~v2&v3)))+74*(~v0&(~v1&(v2&v3)))+30*(~v0&(v1&(v2&v3)))+35*(v0&(~v1&(v2&v3)))+16*(v0&(v1&(v2&v3)))
-4*((~(v0&v1)&~v3)|(~(v1^v2)&v3))+11*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3)),-4*((~(v0&v1)&~v3)|(~(v1^v2)&v3))*(v0&v1)+16*((~(v0&v1)&~v3)|(~(v1^v2)&v3))*~(v0|v1)-4*((~(v0&v1)&~v3)|(~(v1^v2)&v3))*~(v0|~v1)-8*((~(v0&v1)&~v3)|(~(v1^v2)&v3))*~v1-33*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3))*(v0&v1)-308*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3))*(v0&~v1)+242*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3))*(v0^v1)-22*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3))*~(v0|v1)-275*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3))*~(v0|~v1)+22*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3))*~v1+12*((~(v0&v1)&~v3)|(~(v1^v2)&v3))*(v0|v1)-4*((~(v0&v1)&~v3)|(~(v1^v2)&v3))*~(v0&~v1)+33*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3))*(v0|v1)-11*(((v0^(v1^v2))&~v3)|((v2^(v0|(v1&v2)))&v3))*~(v0&~v1)
2*((((v1&~v2)|~(v0|(~v1&v2)))&~v3)|((v1^~(v0&(~v1|v2)))&v3)),1*(((~v0|(~v1|v2))&~v3)|((~(v0|~v1)|~(v1^v2))&v3))-6*((((v0&v1)|~(v1|~v2))&~v3)|((v2^(v0|v1))&v3))-1*(((v2^(v0|v1))&~v3)|((v2|~(v0|v1))&v3))+2*(((v1|(v0&v2))&~v3)|((v0&~v0)&v3))-2*((~(v0^(v1^v2))&~v3)|(((v0|v1)&~(v0^(v1^v2)))&v3))-11*((((v0&v1)^(v0^(v1&v2)))&~v3)|((v1^~(~v0|(~v1&v2)))&v3))-1*(((v1^~(~v0|(v1^v2)))&~v3)|((~v0|(v1&v2))&v3))-2*((((v0|~v1)&~(v1^v2))&~v3)|(v2&v3))+1*(((v2^~(v0|v1))&~v3)|((v2&(v0^v1))&v3))+11*((~(v1|v2)&~v3)|((v2|(v0^v1))&v3))+3*(((v1^(~v0&(v1|v2)))&~v3)|((v2&~(v0&~v1))&v3))+2*(((v1^~(~v0|(v1&v2)))&~v3)|((~v0&(~v1|v2))&v3))+1*((~(v0|(~v1&v2))&~v3)|((~(v0&v1)&~(v1^v2))&v3))+2*(((~(v0|~v1)|~(v1^v2))&~v3)|(((v0&v1)|~(v1|~v2))&v3))-1*(((v2^~(~v0&(~v1|v2)))&~v3)|((v2^(v0|(~v1|v2)))&v3))+2*(((v2^(v0|~v1))&~v3)|((v2^~(v0|(v1&v2)))&v3))-3*(((v1|v2)&~v3)|(~v2&v3))+5*((~(v0&~v2)&~v3)|((v2&(v0|v1))&v3))+3*(((v2^(v0&(~v1|v2)))&~v3)|((v0^(v1^v2))&v3))+1*((((v0&~v1)|~(v1^v2))&~v3)|((~(v0&~v1)&(v0^(v1^v2)))&v3))-1*(((v1^(~v0|(v1|v2)))&~v3)|((v1^~(~v0&(v1&v2)))&v3))-2*(((v2^(v0|(v1|v2)))&~v3)|(~(v0|(~v1|v2))&v3))-5*(((v1&~(v0&v2))&~v3)|((v2^(~v0&(~v1|v2)))&v3))+4*(((v1^(v0&(v1|v2)))&~v3)|(~(~v0&(~v1&v2))&v3))+1*(((v1|~(v0^v2))&~v3)|((~(v0&v1)&~(v1^v2))&v3))-3*((((v1&v2)^~(~v0&(v1^v2)))&~v3)|((v2^(~v0|(v1|v2)))&v3))-2*(((v1^~(v0&(v1|v2)))&~v3)|((v2^~(~v0|(v1&v2)))&v3))-5*((~(~v0|(~v1&v2))&~v3)|((v1^~(v0|~v2))&v3))-3*(((v2^~(~v0&(~v1|v2)))&~v3)|(((v0&v2)|~(v1|v2))&v3))-1*(((v1|~(v0|~v2))&~v3)|((v1&~(v0^v2))&v3))-13*~(v0|(v1|(v2|v3)))+1*~(v0|(~v1|(v2|v3)))+9*~(~v0|(v1|(v2|v3)))+29*~(~v0|(~v1|(v2|v3)))+6*~(v0|(v1|(~v2|v3)))+4*~(v0|(~v1|(~v2|v3)))+9*~(~v0|(v1|(~v2|v3)))+12*~(~v0|(~v1|(~v2|v3)))+9*(~v0&(~v1&(~v2&v3)))+10*(~v0&(v1&(~v2&v3)))+6*(v0&(~v1&(~v2&v3)))+16*(v0&(v1&(~v2&v3)))-2*(~v0&(~v1&(v2&v3)))-11*(~v0&(v1&(v2&v3)))-11*(v0&(~v1&(v2&v3)))-10*(v0&(v1&(v2&v3)))
2*((((v1&~v2)|~(v0|(~v1&v2)))&~v3)|((v1^~(v0&(~v1|v2)))&v3)),-2*((((v1&~v2)|~(v0|(~v1&v2)))&~v3)|((v1^~(v0&(~v1|v2)))&v3))*(v0&v1)-4*((((v1&~v2)|~(v0|(~v1&v2)))&~v3)|((v1^~(v0&(~v1|v2)))&v3))*(v0&~v1)+4*((((v1&~v2)|~(v0|(~v1&v2)))&~v3)|((v1^~(v0&(~v1|v2)))&v3))*~(v0&~v0)-8*((((v1&~v2)|~(v0|(~v1&v2)))&~v3)|((v1^~(v0&(~v1|v2)))&v3))*~(v0|v1)-2*((((v1&~v2)|~(v0|(~v1&v2)))&~v3)|((v1^~(v0&(~v1|v2)))&v3))*~(v0|~v1)-4*((((v1&~v2)|~(v0|(~v1&v2)))&~v3)|((v1^~(v0&(~v1|v2)))&v3))*(v0|v1)+2*((((v1&~v2)|~(v0|(~v1&v2)))&~v3)|((v1^~(v0&(~v1|v2)))&v3))*~v1
-28*~(v0|(v1|(v2|v3)))+1*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3)),-1*(((v2^(~v0|(~v1|v2)))&~v3)|((~(v0|~v1)|(v1^v2))&v3))-5*((((v0|~v1)&~(v0^(v1^v2)))&~v3)|((v1^(~v0|(~v1&v2)))&v3))+2*(((v2^(~v0|(~v1|v2)))&~v3)|((v1|v2)&v3))+5*(((v2^~(~v0|(v1&v2)))&~v3)|((v1|v2)&v3))+5*(((v2^~(v0&~v1))&~v3)|(~(v0|(v1&v2))&v3))+5*(((~v0|(~v1&v2))&~v3)|((~(v0&v1)&(v0^(v1^v2)))&v3))-7*(((~(v0&v1)&(v1^v2))&~v3)|(((v0^v1)&(v0^v2))&v3))+1*(((~v2&(v0^v1))&~v3)|((v2^(v0|(~v1&v2)))&v3))+1*(((v2|~(v0|~v1))&~v3)|((v1&(v0|v2))&v3))-11*((((v0^v1)|~(v0^v2))&~v3)|((v2^(v0|(v1|v2)))&v3))+2*((((v0&v2)|(v1&~v2))&~v3)|((v0&(v1&v2))&v3))+3*(((v0&~v1)&~v3)|(~(v0&(~v1|v2))&v3))-11*(((v2^~(~v0&(v1|v2)))&~v3)|(~(v0&(v1|v2))&v3))+1*(((~(v0|v1)|(v0^(v1^v2)))&~v3)|((v1^~(v0&(v1^v2)))&v3))-3*(((~(v0|~v1)|(v1^v2))&~v3)|((~(v0^v1)|(v0^v2))&v3))-7*(((v2^~(v0&~v1))&~v3)|(v2&v3))+1*((~(v0&~v0)&~v3)|((v1^~(v0&v2))&v3))+2*((((v0&v2)|~(v1|v2))&~v3)|((~v1&~(v0^v2))&v3))-6*(((v2^(v0&~v1))&~v3)|((v1&~(v0&~v2))&v3))-1*(((~v1&(v0^v2))&~v3)|(~(v0&(~v1|v2))&v3))+2*(((v1^(v0|~v2))&~v3)|(~(v0^(v1|v2))&v3))-7*~((v0^v3)&~v1)+2*(((v1^(v0|(v1|v2)))&~v3)|((~v1|(v0^v2))&v3))-1*(((v1^~(~v0&(~v1&v2)))&~v3)|((v1^(v0|(v1&v2)))&v3))-3*((((v1&~v2)^(v0|(v1^v2)))&~v3)|(~(v1|~v2)&v3))-2*(((v1^~(~v0&(v1&v2)))&~v3)|(((v0&v1)|(v0^(v1^v2)))&v3))+7*(((v2^~(v0&~v1))&~v3)|((~v2&~(v0^v1))&v3))-1*(((v1^(~v0&(v1^v2)))&~v3)|((~(v0|~v1)|(v0^(v1^v2)))&v3))-6*(((v1^~(v0&(~v1|v2)))&~v3)|((~(v0&~v1)&~(v1^v2))&v3))-7*((~(v0|(~v1|v2))&~v3)|(((v0|v1)&~(v1^v2))&v3))-7*(((v1|(v0&~v2))&~v3)|(~(~v0&(~v1&v2))&v3))-1*(((v2^(~v0&(~v1|v2)))&~v3)|(((v0&v2)^(v0^(~v1&v2)))&v3))+25*~(v0|(~v1|(v2|v3)))+24*~(~v0|(v1|(v2|v3)))+22*~(~v0|(~v1|(v2|v3)))+32*~(v0|(v1|(~v2|v3)))+35*~(v0|(~v1|(~v2|v3)))+11*~(~v0|(v1|(~v2|v3)))+30*~(~v0|(~v1|(~v2|v3)))+10*(~v0&(~v1&(~v2&v3)))+29*(~v0&(v1&(~v2&v3)))+48*(v0&(~v1&(~v2&v3)))+15*(v0&(v1&(~v2&v3)))+12*(~v0&(~v1&(v2&v3)))+51*(~v0&(v1&(v2&v3)))+20*(v0&(~v1&(v2&v3)))+38*(v0&(v1&(v2&v3)))
-28*~(v0|(v1|(v2|v3)))+1*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3)),-196*~(v0|(v1|(v2|v3)))*(v0&v1)-588*~(v0|(v1|(v2|v3)))*(v0&~v1)+616*~(v0|(v1|(v2|v3)))*(v0^v1)-224*~(v0|(v1|(v2|v3)))*~(v0|v1)-868*~(v0|(v1|(v2|v3)))*~(v0|~v1)+56*~(v0|(v1|(v2|v3)))*~v0+7*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3))*(v0&v1)+21*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3))*(v0&~v1)-22*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3))*(v0^v1)+8*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3))*~(v0|v1)+31*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3))*~(v0|~v1)-2*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3))*~v0+28*~(v0|(v1|(v2|v3)))*v1+196*~(v0|(v1|(v2|v3)))*~(v0&~v1)-1*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3))*v1-7*((~(v0^(v1^v2))&~v3)|((~(v0|~v1)|(v1^v2))&v3))*~(v0&~v1)
19*~(~v0|(v1|(~v2|v3)))+36*~(~v0|(~v1|(v2|v3))),-2*(((~v0|(v1&v2))&~v3)|(((v0&v2)^(v0^(~v1&v2)))&v3))+2*(((v2^(~v0&(~v1|v2)))&~v3)|((v2^~(~v0|(~v1&v2)))&v3))+1*(((v1^~(v0|(v1&v2)))&~v3)|(((v0&v1)|~(v1|~v2))&v3))-2*((~(v0&~v1)&~v3)|(v0&v3))+1*((((v0&v1)^(v0^(~v1|v2)))&~v3)|(~(v0&(~v1&v2))&v3))+1*((~(v1^v2)&~v3)|((~v1|(v0^v2))&v3))-11*(((v2^(~v0|(v1&v2)))&~v3)|(~(~v0&(~v1&v2))&v3))+2*(((v0|(v1&v2))&~v3)|(((v0&~v1)|(v0^(v1^v2)))&v3))+7*(((v0|(v1|v2))&~v3)|((v0&(v1|v2))&v3))+2*((((v1&v2)|(~v0&(v1|v2)))&~v3)|(~(v0&(~v1&v2))&v3))+1*(((v0&v2)&~v3)|((~v0&(v1&v2))&v3))-2*((((v0&v1)|(v0^(v1^v2)))&~v3)|((~(v0&~v1)&(v0^(v1^v2)))&v3))+1*(((v0|(v1^v2))&~v3)|((~v0|(~v1|v2))&v3))+7*(((v1^(v0&(v1|v2)))&~v3)|((v0&~v1)&v3))+1*(((v2^(~v0|(~v1|v2)))&~v3)|((~(v0|~v1)|(v1^v2))&v3))+1*(((v1&~(v0^v2))&~v3)|((~v0&(~v1|v2))&v3))-1*((((v1&~v2)^(v0|(v1^v2)))&~v3)|((~(v0&~v1)&(v1^v2))&v3))-1*(((v1^~(~v0&(v1^v2)))&~v3)|(((v1&v2)|(v0&(v1|v2)))&v3))+7*(((v1^~(v0&(v1&v2)))&~v3)|((v0|(v1|v2))&v3))+4*((((v0&v2)^(v0^(~v1&v2)))&~v3)|((~(v0|v1)|(v1^v2))&v3))+1*(((v2|~(v0^v1))&~v3)|(~(v0&~v0)&v3))+3*(((v2^(~v0|(~v1&v2)))&~v3)|((v2^~(v0|v1))&v3))+3*((((v0&~v1)|(v1^v2))&~v3)|((v0&~v0)&v3))-11*(((v2^~(v0|(~v1&v2)))&~v3)|((v1^(v0&~v2))&v3))-3*(((v1|(v0&~v2))&~v3)|((~v0|(~v1&v2))&v3))+1*(((v1^(~v0&(v1|v2)))&~v3)|((v0&(~v1|v2))&v3))-3*(((v1^~(~v0&(v1^v2)))&~v3)|((v2^(v0|(~v1&v2)))&v3))+2*((~(v0|(~v1&v2))&~v3)|((v1^(v0&(~v1|v2)))&v3))+1*(((v0^(~v1&v2))&~v3)|((~v2&~(v0^v1))&v3))+1*(((~v0&(v1&v2))&~v3)|(~(~v0&(~v1|v2))&v3))+11*(((v2^(v0&v1))&~v3)|((v1|~v2)&v3))+11*(((v1&~v2)&~v3)|((v1^(~v0|(~v1|v2)))&v3))-1*((((v0^v1)&(v0^v2))&~v3)|(~(v0|~v1)&v3))+11*~(v0|(v1|(v2|v3)))-3*~(v0|(~v1|(v2|v3)))-16*~(~v0|(v1|(v2|v3)))-22*~(v0|(v1|(~v2|v3)))-28*~(v0|(~v1|(~v2|v3)))-11*~(~v0|(~v1|(~v2|v3)))-23*(~v0&(~v1&(~v2&v3)))-4*(~v0&(v1&(~v2&v3)))-21*(v0&(~v1&(~v2&v3)))-33*(v0&(v1&(~v2&v3)))-27*(~v0&(~v1&(v2&v3)))-4*(~v0&(v1&(v2&v3)))-33*(v0&(~v1&(v2&v3)))-11*(v0&(v1&(v2&v3)))
19*~(~v0|(v1|(~v2|v3)))+36*~(~v0|(~v1|(v2|v3))),-38*~(~v0|(v1|(~v2|v3)))*v1+19*~(~v0|(v1|(~v2|v3)))*~(v0|v1)-19*~(~v0|(v1|(~v2|v3)))*~(v0|~v1)+57*~(~v0|(v1|(~v2|v3)))*~v0-72*~(~v0|(~v1|(v2|v3)))*(v0&~v1)-324*~(~v0|(~v1|(v2|v3)))*~(v0|v1)-180*~(~v0|(~v1|(v2|v3)))*~(v0|~v1)+108*~(~v0|(~v1|(v2|v3)))*~v0+133*~(~v0|(v1|(~v2|v3)))*(v0&v1)-19*~(~v0|(v1|(~v2|v3)))*(v0|v1)-95*~(~v0|(v1|(~v2|v3)))*~(v0^v1)-252*~(~v0|(~v1|(v2|v3)))*(v0&v1)+36*~(~v0|(~v1|(v2|v3)))*(v0|v1)+180*~(~v0|(~v1|(v2|v3)))*~(v0^v1)
-5*(v0&(v1&(~v2&v3)))+11*(((v1|(v0^v2))&~v3)|((v0|(v1^v2))&v3)),7*((~(v1&~v2)&~v3)|((~(v0|~v1)|~(v1^v2))&v3))-11*(((v1^~(~v0&(~v1&v2)))&~v3)|((v0|(~v1|v2))&v3))+7*(((~v0|(v1|v2))&~v3)|((v1^(~v0&(~v1|v2)))&v3))+5*((~(v0&(~v1|v2))&~v3)|((~(v0&~v1)&(v0^(v1^v2)))&v3))-1*(((~v0|(v1&v2))&~v3)|(~(v0|v1)&v3))+1*(((~(v0|v1)|~(v1^v2))&~v3)|((~(v0&~v1)&~(v1^v2))&v3))+2*(((v2^~(v0&v1))&~v3)|(((v0|~v1)&~(v0^(v1^v2)))&v3))-11*(((v1^~(v0&(~v1&v2)))&~v3)|(~(~v0|(v1^v2))&v3))-7*(((v1^(~v0|(v1^v2)))&~v3)|((v0&~v2)&v3))+4*(((v1^~(~v0|(v1&v2)))&~v3)|((v2^~(v0|v1))&v3))+2*(((v2^(v0|(v1|v2)))&~v3)|((v1^~(~v0&(v1|v2)))&v3))-5*((~(v0^(v1&v2))&~v3)|((~v2|~(v0^v1))&v3))-1*(((v1|(v0&~v2))&~v3)|((v2|(v0&~v1))&v3))+5*(((v2|(v0^v1))&~v3)|(((v0&v1)|(v1^v2))&v3))+1*(((v2^(~v0&(v1|v2)))&~v3)|((~v0&(~v1|v2))&v3))+2*(((~v0|(v1|v2))&~v3)|(((v0|v1)&(v1^v2))&v3))-1*(((v1^~(~v0&(v1|v2)))&~v3)|(~(v0&(~v1&v2))&v3))-2*(((v2^(v0|(v1|v2)))&~v3)|((~(v0|~v1)|(v0^(v1^v2)))&v3))+1*((~(~v0&(v1|v2))&~v3)|((v2&(v0|~v1))&v3))-6*(((~v0&(~v1&v2))&~v3)|((~(v0&~v1)&(v1^v2))&v3))+1*(((v2^~(~v0&(~v1&v2)))&~v3)|((v0|(~v1&v2))&v3))+11*(((v2|~(v0|~v1))&~v3)|((~(v0&~v1)&~(v0^(v1^v2)))&v3))+1*(((v1|~(v0^v2))&~v3)|((v2^~(v0&(v1&v2)))&v3))-2*(((v1|(v0&v2))&~v3)|((v1^~(v0|v2))&v3))+1*(((~(v0^v1)&~(v0^v2))&~v3)|((~(v0|v1)|(v0^(v1^v2)))&v3))+4*(((v1^~(v0&(~v1&v2)))&~v3)|(((v0&v1)^(v1|~v2))&v3))-7*(((v2^~(v0&(~v1|v2)))&~v3)|((v1^~(v0|(v1&v2)))&v3))+5*(((v2^(~v0|(v1&v2)))&~v3)|((v1^~(v0&(v1^v2)))&v3))+3*(((v1&~(v0^v2))&~v3)|(~(v0^(~v1|v2))&v3))+11*((((v0&v2)^(v1|v2))&~v3)|((v2^(v0&v1))&v3))+1*(((~v1&~(v0^v2))&~v3)|((v1^~(~v0&(~v1&v2)))&v3))-5*((((v0^v1)|(v0^v2))&~v3)|(((v0^v1)&~(v0^v2))&v3))+5*~(v0|(v1|(v2|v3)))-25*~(v0|(~v1|(v2|v3)))+15*~(~v0|(v1|(v2|v3)))-2*~(~v0|(~v1|(v2|v3)))-8*~(v0|(v1|(~v2|v3)))-33*~(v0|(~v1|(~v2|v3)))-12*~(~v0|(v1|(~v2|v3)))-12*~(~v0|(~v1|(~v2|v3)))-20*(~v0&(~v1&(~v2&v3)))-7*(~v0&(v1&(~v2&v3)))+24*(v0&(~v1&(~v2&v3)))+8*(~v0&(~v1&(v2&v3)))-17*(~v0&(v1&(v2&v3)))-4*(v0&(~v1&(v2&v3)))+15*(v0&(v1&(v2&v3)))
-5*(v0&(v1&(~v2&v3)))+11*(((v1|(v0^v2))&~v3)|((v0|(v1^v2))&v3)),15*(v0&(v1&(~v2&v3)))*(v0&v1)-10*(v0&(v1&(~v2&v3)))*(v0&~v1)+5*(v0&(v1&(~v2&v3)))*~(v0|v1)+30*(v0&(v1&(~v2&v3)))*~(v0|~v1)-33*(((v1|(v0^v2))&~v3)|((v0|(v1^v2))&v3))*(v0&v1)+22*(((v1|(v0^v2))&~v3)|((v0|(v1^v2))&v3))*(v0&~v1)-11*(((v1|(v0^v2))&~v3)|((v0|(v1^v2))&v3))*~(v0|v1)-66*(((v1|(v0^v2))&~v3)|((v0|(v1^v2))&v3))*~(v0|~v1)+15*(v0&(v1&(~v2&v3)))*v0-25*(v0&(v1&(~v2&v3)))*v1-33*(((v1|(v0^v2))&~v3)|((v0|(v1^v2))&v3))*v0+55*(((v1|(v0^v2))&~v3)|((v0|(v1^v2))&v3))*v1
-33*(~v0&(~v1&(v2&v3))),-7*(((v1^~(v0&(v1&v2)))&~v3)|(v0&v3))-7*((((v0^v1)&~(v0^v2))&~v3)|(((v0^v1)&~(v0^v2))&v3))-1*((~(v0|~v1)&~v3)|((v1^~(v0|(~v1&v2)))&v3))+4*((~(~v0|(~v1|v2))&~v3)|((v2^(~v0|(v1|v2)))&v3))-3*(((v2^~(v0&(~v1&v2)))&~v3)|((v1^~(~v0&(~v1&v2)))&v3))+11*(((v2^~(v0|(~v1&v2)))&~v3)|((v0|~v2)&v3))-3*((((v0|v1)&(v1^v2))&~v3)|((v0|(~v1|v2))&v3))+2*(((v2^~(v0&(~v1&v2)))&~v3)|(v2&v3))-7*(((v0^(v1&v2))&~v3)|((v1^v2)&v3))+7*(((v1^(v0|(v1&v2)))&~v3)|((v0&~v1)&v3))-5*((~v0&~v3)|(~(~v0|(~v1|v2))&v3))-2*(((v2^(v0&(~v1|v2)))&~v3)|(~(v0&~v2)&v3))-2*(((v1^(v0|(~v1&v2)))&~v3)|(((v0&v2)^(v1|v2))&v3))+4*(((v2^(v0&~v1))&~v3)|((v0|(v1|v2))&v3))-1*(((v1^(v0&v2))&~v3)|(((v0^v1)|~(v0^v2))&v3))-11*(((v1^(v0|(v1&v2)))&~v3)|(~v1&v3))-11*((((v0|v1)&(v1^v2))&~v3)|(((v0&v1)|~(v1|~v2))&v3))+1*(((v1^(v0|(~v1|v2)))&~v3)|((~(v0&~v1)&(v0^(v1^v2)))&v3))+5*(((v0&~v1)&~v3)|(((v0^v1)|(v0^v2))&v3))-2*(((v1&~(v0^v2))&~v3)|((~(v0|v1)|(v1^v2))&v3))-2*(((v1^~(~v0|(~v1&v2)))&~v3)|(((v0&v2)^(v0^(v1&v2)))&v3))+5*(((v2^~(v0&~v1))&~v3)|((v2^(~v0|(~v1&v2)))&v3))-1*((~(v0&(v1&v2))&~v3)|((~v0|(~v1&v2))&v3))-2*(((v1&~(v0&~v2))&~v3)|((v2&(v0|~v1))&v3))-11*((((v1&~v2)|~(~v0|(~v1&v2)))&~v3)|(~(~v0|(~v1&v2))&v3))+3*((~(v0&(~v1|v2))&~v3)|(~(~v0|(~v1|v2))&v3))-3*((((v1&v2)^~(v0&(v1^v2)))&~v3)|((~(v0&v1)&(v0^(v1^v2)))&v3))+1*(((v1^(~v0&(~v1|v2)))&~v3)|(((v1&v2)^~(v0&(v1^v2)))&v3))+2*(((v1^~(~v0&(v1|v2)))&~v3)|(((v0&v1)|~(v1^v2))&v3))-1*(((v1|~v2)&~v3)|((v0^(~v1|v2))&v3))-1*((((v0&v1)|~(v1^v2))&~v3)|((~(v0|v1)|~(v0^(v1^v2)))&v3))+1*(((v2^(v0&(v1|v2)))&~v3)|((~(v0^v1)&~(v0^v2))&v3))+7*(((v0^(~v1&v2))&~v3)|((v2^(~v0|(~v1&v2)))&v3))-4*~(v0|(v1|(v2|v3)))+34*~(v0|(~v1|(v2|v3)))+23*~(~v0|(v1|(v2|v3)))+16*~(~v0|(~v1|(v2|v3)))-8*~(v0|(v1|(~v2|v3)))+15*~(v0|(~v1|(~v2|v3)))+20*~(~v0|(v1|(~v2|v3)))+1*~(~v0|(~v1|(~v2|v3)))-5*(~v0&(~v1&(~v2&v3)))-13*(~v0&(v1&(~v2&v3)))+11*(v0&(~v1&(~v2&v3)))+24*(v0&(v1&(~v2&v3)))+29*(v0&(~v1&(v2&v3)))+7*(v0&(v1&(v2&v3)))
-33*(~v0&(~v1&(v2&v3))),-462*(~v0&(~v1&(v2&v3)))*(v0&v1)-231*(~v0&(~v1&(v2&v3)))*(v0&~v1)+132*(~v0&(~v1&(v2&v3)))*(v0^v1)+132*(~v0&(~v1&(v2&v3)))*~(v0&~v1)-231*(~v0&(~v1&(v2&v3)))*~(v0|v1)-231*(~v0&(~v1&(v2&v3)))*~(v0|~v1)+363*(~v0&(~v1&(v2&v3)))*(v0|~v1)-231*(~v0&(~v1&(v2&v3)))*~v1
